topic,stance,argument,argument_sentiment
only teach abstinence for sex education in schools,PRO,sex before marriage and at a young age has heavy physical and emotional costs,-1.0
the sale of violent video games to minors,CON,No conclusive link was found between video game usage and violent activity,1.0
the use of affirmative action,CON,Affirmative action policies reduce the incentives of both the preferred and non-preferred to perform at their best,-1.0
build hydroelectric dams,PRO,hydroelectric power can be far less expensive than electricity generated from fossil fuels or nuclear energy,1.0
multiculturalism,PRO,All cultures and civilizations should be treated and promoted equally,1.0
intellectual property rights,CON,all proposed alternatives to copyright protection do not allow for viable business models,-1.0
the sale of violent video games to minors,PRO,heavy exposure to media violence can lead to more aggressive behavior,-1.0
freedom of speech,PRO,there is no such thing as unlimited freedom,
only teach abstinence for sex education in schools,PRO,Premarital sex is considered to be morally objectionable,-1.0
atheism,PRO,The idea of God necessarily ends in the enslavement of mankind,-1.0
democratization,CON,Democracies decay into anarchy,-1.0
the use of affirmative action,CON,each individual's civil rights include the right to be free from government sponsored social discrimination,-1.0
intellectual property rights,CON,Copyright law is fair and just,1.0
freedom of speech,PRO,limitations on free speech balance rights to free speech and other rights,1.0
barrier methods of contraception,PRO,Condom use could encourage the spread of HIV by promoting extramarital sex,-1.0
the blockade of Gaza,CON,The naval blockade's implementation complied with the requirements of international law.,1.0
barrier methods of contraception,CON,The best way to prevent being infected or infecting someone with an STI is by using protection during sexual intercourse,1.0
the blockade of Gaza,PRO,Israel's blockade of the Gaza Strip was described as totally intolerable and unacceptable in the 21st century,-1.0
governments should choose open source software,PRO,FOSS provides high code visibility and the ability to fix security flaws quickly and quietly,1.0
build hydroelectric dams,CON,Hydropower can be intermittent,-1.0
advertising,PRO,advertisements exploit the desires of a consumer,-1.0
the right to bear arms,PRO,Guns' only reason to exist is to harm others,-1.0
unleash the free market,PRO,having many service providers promotes choice and competition,1.0
unleash the free market,PRO,economic freedom is not only desirable in itself but is also a necessary condition for political freedom,1.0
democratization,PRO,genocide and politicide are rare in democracies,1.0
advertising,PRO,"advertising can ""impose a sense of inadequacy on young women's self-concepts",-1.0
the sale of violent video games to minors,CON,There is no connection between exposure to media violence and real life violence,1.0
advertising,PRO,"the commercial basis of media, journalism, and communication could have troubling implications for democracy",-1.0
atheism,CON,God must exist to give force to moral obligations,1.0
atheism,PRO,The argument for the existence of god is a logical fallacy,-1.0
have children,CON,economic growth requires population growth,1.0
gambling,CON,Internet gambling is a legitimate activity that citizens have the right to engage in,1.0
the use of affirmative action,CON,Affirmative action discriminates against members of a dominant or majority group,-1.0
freedom of speech,CON,Freedom of speech is a fundamental human right,1.0
unleash the free market,PRO,depressions result only from government intervention,-1.0
multiculturalism,CON,Democracy and the rule of law can only be restored by abolishing multiculturalism,-1.0
only teach abstinence for sex education in schools,CON,abstinence-only programs did not reduce the likelihood of pregnancy,-1.0
the blockade of Gaza,PRO,The blockade is possibly a crime against humanity,-1.0
the one-child policy of the republic of China,PRO,rapid population growth damages the Earth's resources and diminishes human well-being,-1.0
atheism,PRO,"belief in God and religion are social functions, used by those in power to oppress the working class",-1.0
unleash the free market,CON,a true laissez-faire economy would quickly become a conspiracy of businesses and industry against consumers,-1.0
the blockade of Gaza,CON,"Israel ""could not lift the embargo altogether as long as Hamas remains in control"" of Gaza",-1.0
Israel's 2008-2009 military operations against Gaza,CON,Israel's response was excessive,-1.0
unleash the free market,CON,"regulation ensures that a safe and appropriate service is delivered, while not discouraging the effective functioning and development of businesses",1.0
partial birth abortions,PRO,"as a standard embryo does have a highly valuable future, killing it is seriously wrong",
atheism,PRO,when a person's understanding ponders over the existence of God it encounters nothing but contradictions,-1.0
the sale of violent video games to minors,PRO,video game violence leads to youth violence,-1.0
the one-child policy of the republic of China,CON,Coercive measures were used to achieve the desired results of the one-child policy,-1.0
only teach abstinence for sex education in schools,CON,Education programs which focus exclusively on abstinence have never been shown to delay sexual activity,-1.0
the use of affirmative action,CON,one group is favored at the expense of another whenever a quota is invoked,-1.0
unleash the free market,PRO,Higher economic freedom correlates strongly with higher self-reported happiness,1.0
wind power,CON,Wind power has poor capacity contribution,-1.0
freedom of speech,CON,Press freedom is the right of the people,1.0
subsidize poor communities,PRO,"poverty, once started, is likely to continue unless there is outside intervention",1.0
endangered species,PRO,there is a threat of significant reduction or loss of biological diversity,-1.0
only teach abstinence for sex education in schools,CON,the comprehensive programs work for youth population across the spectrum,1.0
the use of affirmative action,CON,the only consideration in choosing between applicants should be merit,1.0
atheism,CON,things cannot exist without creators,1.0
advertising,PRO,ads depict the interests and lifestyles of the elite as natural; cultivating a deep sense of inadequacy among viewers,-1.0
the sale of violent video games to minors,CON,"parents, not government bureaucrats, have the right to decide what is appropriate for their children",
the use of affirmative action,CON,Merit should be a primary consideration during evaluation,1.0
democratization,PRO,democracy would bring peace,1.0
atheism,PRO,atheism is not a recipe for despair but just the opposite,1.0
advertising,PRO,deceptive marketing can be presented to consumers,-1.0
the monarchy,CON,Monarchy provides a focal point for unity and tradition,1.0
unleash the free market,PRO,"what starts as temporary governmental fixes usually become permanent and expanding government programs, which stifle the private sector and civil society",-1.0
subsidize poor communities,CON,Welfare only breeds dependence on the government,-1.0
multiculturalism,PRO,cultural diversity is as necessary for humankind as biodiversity is for the nature,1.0
the blockade of Gaza,PRO,Israel restricts the ability for the Palestinian authority to exercise control,-1.0
intellectual property rights,PRO,The very concept of copyright has always served simply to enrich a few at the expense of creativity,-1.0
the monarchy,PRO,Monarchy is the enemy of merit and aspiration,-1.0
have children,PRO,That trouble and pain which the parents undergo on the birth of their children cannot be compensated even in a hundred years,-1.0
the blockade of Gaza,CON,Israel is not legally responsible for Gaza and not obliged to help a hostile territory beyond whatever is necessary to avoid a humanitarian crisis,1.0
the blockade of Gaza,PRO,inadequate amounts of goods are entering Gaza to meet Gaza's humanitarian and reconstruction needs,
the blockade of Gaza,PRO,Gaza cannot and must not be allowed to remain a prison camp,-1.0
unleash the free market,CON,markets have inefficient outcomes,-1.0
atheism,CON,a god created the Universe,1.0
governments should choose open source software,PRO,proprietary software is unethical and unjust,-1.0
unleash the free market,CON,Free market can be inefficient,-1.0
atheism,PRO,"an omnipotent and omniscient being would not have any reason to act in any way, specifically by creating the universe",-1.0
the sale of violent video games to minors,CON,Video games are protected speech under the First Amendment,1.0
the blockade of Gaza,CON,Israel's blockade of the Gaza Strip was determined to be legal,1.0
the use of affirmative action,CON,Policies adopted as affirmative action have been criticised as a form of reverse discrimination,-1.0
the one-child policy of the republic of China,PRO,Only children are more likely to make outside friends,1.0
unleash the free market,PRO,the state and economy are inherently separate from each other,
all nations have a right to nuclear weapons,PRO,nuclear weapons are intended to deter other states from attacking,1.0
only teach abstinence for sex education in schools,PRO,Abstinence-only programs delay the initiation of sex,1.0
gambling,PRO,the social and economic consequences of casino gambling outweigh the initial revenue that may be generated,-1.0
atheism,PRO,a creator of a universe with such complexity would have to be complex and improbable,-1.0
advertising,PRO,the deepest recesses of the human psyche – become mere means for the expansion of the commodity universe under the force of modern marketing,-1.0
subsidize poor communities,CON,Subsidies may distort markets,-1.0
all nations have a right to nuclear weapons,CON,nuclear weapons had become a source of extreme risk,-1.0
Israel's 2008-2009 military operations against Gaza,PRO,Israel was acting in self-defence,1.0
Israel's 2008-2009 military operations against Gaza,PRO,No country can just passively accept being fired on,-1.0
intellectual property rights,PRO,The allegedly absurd lengths that copyright enforcement is taken to have hindered the ability of consumers to buy the products they want,-1.0
endangered species,PRO,there are direct economic consequences of losing diversity in certain ecosystems and in the world as a whole,-1.0
atheism,PRO,there is insufficient reason to believe that any gods exist,-1.0
the one-child policy of the republic of China,CON,only children are spoiled,-1.0
freedom of speech,PRO,Reasonable restrictions upon free speech serve public order,1.0
governments should choose open source software,PRO,Open source software can increase speed and flexibility,1.0
have children,PRO,Human extinction is the best solution to the problems facing the Earth's biosphere and humanity,1.0
multiculturalism,CON,state multiculturalism has failed,-1.0
advertising,PRO,advertising frequently uses psychological pressure,-1.0
atheism,CON,religion is needed to make us behave morally,1.0
the sale of violent video games to minors,CON,"many skills can be learned from the gaming experience, it builds practical and intellectual skills",1.0
have children,CON,by avoiding reproduction for ethical reasons the childfree will only aid deterioration of concern for the environment and future generations,-1.0
unleash the free market,PRO,free markets work best,1.0
wind power,PRO,Wind power consumes no fuel,1.0
atheism,CON,religions provide a net benefit to individuals and society,1.0
subsidize poor communities,CON,welfare creates a dependence,-1.0
multiculturalism,CON,Multiculturalism results in political corruption,-1.0
partial birth abortions,PRO,D&X abortions are never medically necessary,-1.0
democratization,PRO,democracy leads to less internal violence and mass murder by the government,1.0
build hydroelectric dams,PRO,"Large hydro dams can control floods, which would otherwise affect people living downstream of the project",1.0
partial birth abortions,PRO,A right to life begins at conception,
atheism,PRO,Religions often posit facts that are contradicted by scientific evidence,-1.0
only teach abstinence for sex education in schools,PRO,sexual abstinence in teenagers decreases the risk of contracting STDs and having children outside marriage,1.0
wind power,PRO,wind power can help to reduce energy imports,1.0
intellectual property rights,CON,creators will not have sufficient incentive to invent unless they are legally entitled to capture the full social value of their inventions,1.0
freedom of speech,PRO,"freedom can be restricted for reasons of ""sovereignty and integrity",-1.0
Israel's 2008-2009 military operations against Gaza,CON,the Israeli military operation was directed at the people of Gaza as a whole,-1.0
multiculturalism,PRO,Unity without diversity results in cultural repression,-1.0
the one-child policy of the republic of China,CON,The human rights of women include their right to have control over and decide freely and responsibly on matters related to their sexuality,1.0
atheism,PRO,arguments for the existence of God show insufficient reason to believe,-1.0
subsidize poor communities,CON,Subsidies are inefficient,-1.0
build hydroelectric dams,CON,reservoirs cause habitat fragmentation of surrounding areas,-1.0
have children,PRO,overpopulation is a serious problem,-1.0
the use of affirmative action,CON,Affirmative action laws cause disproportionally high costs for small companies and reduce economic growth and employment,-1.0
gambling,PRO,the high-speed instant gratification of Internet games and the high level of privacy they offer may exacerbate problem and pathological gambling,-1.0
atheism,PRO,none of the arguments for God's existence are compelling,-1.0
the one-child policy of the republic of China,CON,Parents have the exclusive right to determine freely and responsibly the number and spacing of their children,1.0
the blockade of Gaza,PRO,the world is furious over the blockade on Gaza,-1.0
the use of affirmative action,PRO,Direct intervention in the distribution of assets and opportunities is needed to resolve the economic disparities,1.0
unleash the free market,PRO,Centralized planning leads to malinvestment of capital,-1.0
build hydroelectric dams,PRO,There are no harmful emissions associated with hydroelectric plant operation,1.0
wind power,PRO,Wind projects revitalize the economy of rural communities,1.0
the right to bear arms,CON,Gun ownership is seen as a civil right,1.0
only teach abstinence for sex education in schools,CON,Adolescents who begin having sexual intercourse need to understand the importance of using an effective contraceptive every time they have sex,1.0
the blockade of Gaza,CON,The naval blockade was imposed as a legitimate security measure in order to prevent weapons from entering Gaza,1.0
atheism,CON,"theists are able to offer justification for morality, while atheists are not",1.0
unleash the free market,PRO,free trade is a large and unambiguous net gain for society,1.0
partial birth abortions,CON,the decision to abort must be left to the mother and her physician,
gambling,CON,many people participate in gambling as a form of recreation or even as a means to gain an income,1.0
gambling,PRO,religious authorities generally disapprove of gambling,-1.0
subsidize poor communities,PRO,economic inequality reduces social cohesion and increases social unrest,-1.0
unleash the free market,PRO,no coercive monopoly of force can arise on a truly free market,1.0
wind power,CON,"Wind power is ""highly non-dispatchable",-1.0
Israel's 2008-2009 military operations against Gaza,PRO,Palestinian security forces do little or nothing to prevent rocket attacks,-1.0
multiculturalism,CON,Multiculturalism hinders equity and equality in society,-1.0
Israel's 2008-2009 military operations against Gaza,CON,the massive and disproportionate attacks by Israel to the Gaza Strip are in violation of international humanitarian law,-1.0
build hydroelectric dams,PRO,renewable energy is naturally replenished and not subject to the volatility of global fuel markets,1.0
wind power,CON,wind farms will damage tourism,-1.0
the one-child policy of the republic of China,PRO,The individual savings rate has increased since the one-child policy was introduced,1.0
only teach abstinence for sex education in schools,CON,Abstinence-only programs have no positive effects,-1.0
wind power,CON,Wind-generated power is a variable resource,-1.0
atheism,CON,"The universe includes ideas not perceptible to mankind (or not always perceptible), and there must therefore exist an omniscient superobserver",1.0
endangered species,PRO,Biodiversity provides critical support for drug discovery and the availability of medicinal resources,1.0
have children,CON,the decision not to procreate at all could be regarded as immoral,-1.0
build hydroelectric dams,PRO,hydroelectricity produces the least amount of greenhouse gases and externality of any energy source,1.0
Israel's 2008-2009 military operations against Gaza,PRO,"during the conflict, the Israel Defense Forces ""did more to safeguard the rights of civilians in a combat zone than any other army in the history of warfare",1.0
the sale of violent video games to minors,CON,video games have many healthy and positive aspects,1.0
the use of affirmative action,CON,affirmative action has undesirable side-effects,-1.0
build hydroelectric dams,CON,A hydroelectric plant's production may be affected by requirements to keep the water level from getting to high or low,-1.0
the use of affirmative action,CON,affirmative action has undesirable side-effects in addition to failing to achieve its goals,-1.0
governments should choose open source software,PRO,Open source software promotes learning and understanding,1.0
the monarchy,PRO,the monarch cannot be prosecuted for criminal offences,-1.0
multiculturalism,PRO,assimilation can hurt minority cultures by stripping away their distinctive features,-1.0
multiculturalism,PRO,cultural differences within society are valuable and should be preserved,1.0
democratization,PRO,democracy can be a path to lasting justice,1.0
the use of affirmative action,CON,it is impossible to favor somebody without discriminating against others,-1.0
intellectual property rights,CON,The copyright system has made and continues to make a valuable even essential contribution to the creation and dissemination of works,1.0
intellectual property rights,CON,copyright drives the economy by compelling creativity,1.0
democratization,CON,democracy is actually a decline of civilization,-1.0
the monarchy,CON,Monarchy is a source of checks and balances against elected politicians who might seek powers in excess of those conferred by their respective constitutions,1.0
intellectual property rights,PRO,copyright has never been of net benefit to society,-1.0
barrier methods of contraception,PRO,all licit sexual acts must be open to procreation,
endangered species,PRO,the indirect effects of losing many species as well as the diversity of ecosystems in general are enormous,-1.0
barrier methods of contraception,CON,The church..has to respect responsible decision-making by couples,
the one-child policy of the republic of China,CON,"The policy is controversial both within and outside China because of the manner in which the policy has been implemented, and because of concerns about negative social consequences",-1.0
freedom of speech,CON,Freedom of speech is the heart of democracy,1.0
the blockade of Gaza,PRO,"As a form of collective punishment, Israel’s continuing blockade of Gaza is a flagrant violation of international law",-1.0
the one-child policy of the republic of China,CON,human beings are the ultimate resource,
the sale of violent video games to minors,PRO,exposure to violent video games causes both short term and long term aggression in players and decreases empathy and prosocial behavior,-1.0
the sale of violent video games to minors,CON,There is no compelling link between violent video games and its effects on children,1.0
build hydroelectric dams,PRO,Hydropower is an extremely flexible technology from the perspective of power grid operation,1.0
freedom of speech,PRO,All the utterances intended to endanger the security of the State may be restrained in the interest of the security of the State,-1.0
unleash the free market,PRO,government intervention in markets would lead to a loss of freedom,-1.0
the use of affirmative action,CON,all people should be treated similarly,
subsidize poor communities,CON,Social welfare creates dependence to the state,-1.0
intellectual property rights,CON,Patents and copyrights are the legal implementation of the base of all property rights: a man's right to the product of his mind,1.0
intellectual property rights,CON,intellectual property is desirable because it encourages innovation,1.0
governments should choose open source software,PRO,lesser dependence on proprietary software allows for easier integration of various systems,1.0
gambling,PRO,"Many jurisdictions, local as well as national, either ban gambling or heavily control it by licensing",-1.0
multiculturalism,CON,A multicultural society can never be strong,-1.0
unleash the free market,PRO,the information problems facing any other form of economic organization other than market capitalism would exceed its capacity to handle information,-1.0
the right to bear arms,PRO,the access to guns leads to more violence,-1.0
unleash the free market,PRO,Centralized control of economic activities is always accompanied with political repression,-1.0
have children,PRO,there is a moral imperative not to procreate,1.0
wind power,CON,integrating wind energy into the utility grid can be problematic,-1.0
democratization,PRO,a positive relationship exists between democratic governance and peace,1.0
intellectual property rights,CON,property rights encourage their holders to develop the property,1.0
all nations have a right to nuclear weapons,PRO,Nuclear weapons decrease the chances of crisis escalation,1.0
intellectual property rights,CON,"If inventors did not have the legal protection of patents, in many cases, they would prefer or tend to keep their inventions secret",1.0
the blockade of Gaza,PRO,Israel is inflicting collective punishment on the Gaza population,-1.0
only teach abstinence for sex education in schools,CON,Abstinence only sex education does not decrease rates of unplanned pregnancy,-1.0
partial birth abortions,PRO,the right to life begins at conception,
intellectual property rights,CON,artists cannot produce new works without an economic incentive,1.0
the monarchy,PRO,The monarch is immune from criminal prosecution,-1.0
the blockade of Gaza,PRO,"as the occupying power, Israel has a duty under international law to ensure the welfare of Gaza’s inhabitants",1.0
wind power,CON,the non-dispatchable nature of wind energy production can raise costs for regulation,-1.0
the one-child policy of the republic of China,CON,Programs that do not take the interests of women into account are unlikely to succeed,-1.0
freedom of speech,PRO,Freedom of speech and expression can not be an excuse for distribution of indecent and immoral content,-1.0
atheism,PRO,evolution can explain the apparent design in nature,1.0
barrier methods of contraception,CON,Condoms have the  feature of helping to prevent the spread of sexually transmitted diseases,1.0
advertising,PRO,"The ""hyper-commercialization of the culture is recognized and roundly detested by the citizenry",-1.0
the sale of violent video games to minors,PRO,Violent video games are influencing children's view about violence,-1.0
multiculturalism,PRO,people have the right to maintain an affiliation with one's ethnic group,1.0
have children,PRO,Human extinction would prevent environmental degradation,1.0
the blockade of Gaza,PRO,"the ""restrictions imposed on the civilian population by the continuing blockade of the Gaza Strip amount to collective punishment, a violation of international humanitarian law",-1.0
barrier methods of contraception,CON,Condoms can save life,1.0
unleash the free market,PRO,the state should confine its role to protecting individual liberty and property,
the monarchy,CON,The monarchy works well,1.0
have children,CON,childfree people face not only social discrimination but political discrimination as well,-1.0
the blockade of Gaza,CON,the blockade is necessary to prevent weapons from reaching Gaza,1.0
have children,PRO,one can make a greater contribution to humanity through one's work than through having children,-1.0
Israel's 2008-2009 military operations against Gaza,PRO,The right of the Israeli people to a life in peace and security without permanent threat from rocket attacks must be guaranteed,1.0
Israel's 2008-2009 military operations against Gaza,PRO,Israel's legitimate right to self-defence is undisputable,1.0
gambling,PRO,problem gambling has been shown to cause dysfunctional families,-1.0
wind power,PRO,"Compared to the environmental impact of traditional energy sources, the environmental impact of wind power is relatively minor",1.0
all nations have a right to nuclear weapons,PRO,"Nuclear weapons may lessen a state's reliance on allies for security, thus preventing allies from dragging each other into wars",1.0
advertising,PRO,teen advertising negatively impacts teenagers’ self-esteem,-1.0
unleash the free market,CON,the free market can damage national traditions,-1.0
only teach abstinence for sex education in schools,CON,"Comprehensive sex education covers abstinence as a positive choice, but also teaches about contraception and avoidance of STIs",1.0
build hydroelectric dams,CON,potential hydroelectric sites are becoming scarce,-1.0
all nations have a right to nuclear weapons,PRO,"unlike conventional weapons, nuclear weapons successfully deter all-out war between states",1.0
the use of affirmative action,PRO,Affirmative action policies may be considered necessary because the minority group in question is socially disadvantaged,1.0
Israel's 2008-2009 military operations against Gaza,CON,Israel's actions in Gaza are both disproportionate and clearly contrary to international humanitarian law,-1.0
Israel's 2008-2009 military operations against Gaza,CON,The Israeli air strikes have demanded a disproportionate amount of civilian victims,-1.0
the one-child policy of the republic of China,CON,"The success of the policy has been questioned, and reduction in fertility has also been attributed to the modernization of China",-1.0
gambling,PRO,gamblers persist in gambling even after repeated losses,-1.0
multiculturalism,PRO,multiculturalism helps in bringing together immigrants and minorities in the country,1.0
Israel's 2008-2009 military operations against Gaza,PRO,Palestinian armed groups committed war crimes and possibly crimes against humanity,-1.0
the use of affirmative action,PRO,identical treatment may sometimes act to preserve inequality rather than eliminate it,-1.0
endangered species,PRO,Earth's surviving biodiversity provides resources for increasing the range of food and other products suitable for human use,1.0
governments should choose open source software,CON,"Having a large amount of eyes reviewing code can ""lull a user into a false sense of security",-1.0
wind power,CON,peak wind speeds may not coincide with peak demand for electrical power,-1.0
the one-child policy of the republic of China,CON,Rapid fertility reduction associated with the one-child policy has potentially negative results,-1.0
atheism,CON,"God's existence ""can be known with certainty from the created world by the natural light of human reason",1.0
the monarchy,PRO,Monarchy contradicts democracy,-1.0
intellectual property rights,PRO,the only way that intellectual property rights can be implemented is by limiting others' physical property rights,-1.0
democratization,PRO,democracy and freedom are indispensable ingredient for a stable political system,1.0
atheism,PRO,"the effect of religious belief, is positively harmful",-1.0
unleash the free market,CON,"Throughout the world, forces that many blame on free trade are eroding traditional ways of living and rural cultures",-1.0
advertising,PRO,Advertising is increasingly invading public spaces,-1.0
the monarchy,PRO,Monarchs lack accountability,-1.0
the one-child policy of the republic of China,CON,The one child policy creates social problems and personality disorders in young people,-1.0
the monarchy,PRO,monarchies are unfashionable,-1.0
intellectual property rights,PRO,"copyright is invalid because, unlike physical property, intellectual property is not scarce",-1.0
the use of affirmative action,PRO,The idea of affirmative action is to help disadvantaged groups get back to a normal starting position after a long period of discrimination,1.0
endangered species,PRO,nature has an intrinsic value,1.0
build hydroelectric dams,CON,"The construction of new hydroelectric power plants means environmental impacts as large areas need to be flooded, altering the ecosystem",-1.0
multiculturalism,CON,A community of separate cultures is divisive,-1.0
build hydroelectric dams,CON,greenhouse gas emissions from the reservoir could be higher than those of a conventional oil-fired thermal generation plant,-1.0
build hydroelectric dams,PRO,renewable electricity technologies present policy makers with a superior alternative for minimising the risk of fuel interruptions and shortages,1.0
the one-child policy of the republic of China,CON,it is more difficult for only children to cooperate in a conventional family environment,-1.0
intellectual property rights,PRO,copyright law protects corporate interests while criminalizing legitimate use,-1.0
gambling,PRO,Pathological gambling is similar to many other impulse control disorders,-1.0
atheism,PRO,the idea of God is inconceivable and self-contradictory,-1.0
build hydroelectric dams,PRO,Renewable energy technologies are essential contributors to sustainable energy,1.0
build hydroelectric dams,PRO,pumped-storage hydroelectricity (PSH) is the largest-capacity form of grid energy storage available,1.0
unleash the free market,PRO,"Without a market in which allocations can be made in obedience to the law of supply and demand, it is difficult or impossible to funnel resources with respect to actual human preferences and goals",1.0
the monarchy,PRO,republicanism is the next logical step toward a fully democratic constitution,1.0
unleash the free market,PRO,"an unfettered market"" is the most efficient mechanism to satisfy human needs and channel resources to their most productive uses",1.0
gambling,CON,the majority of the states run some type of lottery to raise funds for state operations,1.0
partial birth abortions,PRO,partial-birth abortion .. is .. unnecessary to preserve the health of the mother,-1.0
democratization,CON,corruption still is rife in spite of democratically elected governments,-1.0
atheism,PRO,the designer hypothesis immediately raises the larger problem of who designed the designer,-1.0
unleash the free market,PRO,the only way to determine what society actually wants is by allowing private enterprise to use their resources in competing to meet the needs of consumers,1.0
governments should choose open source software,PRO,Open-source-appropriate technology built in continuous peer-review can result in better quality,1.0
have children,CON,there ought to be a higher rate of population growth than what is currently mainstream,1.0
the right to bear arms,CON,gun control laws are ineffective in reducing gun-related accidents and crime,-1.0
governments should choose open source software,PRO,adoption of open-source software models has resulted in savings,1.0
governments should choose open source software,CON,open source may allow hackers to know about the weaknesses or loopholes of the software more easily than closed-source software,-1.0
all nations have a right to nuclear weapons,CON,nuclear weapon technology would soon reach the point where it could end human life on Earth,-1.0
the blockade of Gaza,PRO,The blockade is a collective form of punishment on a civilian population,-1.0
Israel's 2008-2009 military operations against Gaza,CON,the livelihoods and assets of tens of thousands of Gaza civilians have been affected,
advertising,PRO,Low self-esteem that stems from teenage advertising can have detrimental effects on teenagers,-1.0
the monarchy,CON,"a morally-based, balanced monarchy is stressed as the ideal form of government",1.0
atheism,PRO,religious beliefs and traditions lack scientific or rational foundations,-1.0
the sale of violent video games to minors,CON,states do not have the right to decide that some video games are too violent for [minors,
atheism,PRO,Religion is viewed as a human invention used to frighten people into following moral order,-1.0
the one-child policy of the republic of China,CON,the one-child policy is not effective enough to justify its costs,-1.0
Israel's 2008-2009 military operations against Gaza,CON,Israel's attacks represent a severe and massive violation of the International Humanitarian Law,-1.0
barrier methods of contraception,PRO,Condoms impede the procreative aspect of the sexual act which is understood by the Church to have a deeply theological meaning,-1.0
atheism,PRO,"An omniscient, wholly good being would prevent the occurrence of any intense suffering",-1.0
atheism,CON,"A natural moral order requires the existence of God as orthodoxly conceived, so god must exist",1.0
intellectual property rights,CON,content creators would not have incentive to produce their products if they cannot be guaranteed payment,1.0
the monarchy,CON,The monarch serves as a ceremonial figurehead symbol of national unity and state continuity,1.0
build hydroelectric dams,PRO,Hydroelectric plants have long economic lives,1.0
wind power,PRO,the environmental impact of wind power is relatively minor,1.0
advertising,PRO,Advertising incessantly demonstrates the prostitution men and women,-1.0
build hydroelectric dams,CON,people worldwide had been physically displaced as a direct result of dam construction,-1.0
the right to bear arms,CON,gun bans would increase injuries and deaths,-1.0
subsidize poor communities,PRO,a lower rate of redistribution in a given society increases the inequality found among future incomes,-1.0
gambling,PRO,As debts build up people turn to other sources of money such as theft,-1.0
atheism,CON,only the existence of God as orthodoxly conceived could support the existence of moral order in the world,1.0
subsidize poor communities,CON,subsidies may distort the market,-1.0
multiculturalism,PRO,Diversity must be prevalent and valued,1.0
wind power,PRO,Wind turbines do not consume fuel or produce pollution during normal operation,1.0
only teach abstinence for sex education in schools,CON,Abstinence-only sex education programs show an increase in the rates of pregnancy and STDs of a teenage population,-1.0
intellectual property rights,CON,"Without a feasible way to recoup investments of creative time through copyright, there would be little economic incentive to produce",1.0
unleash the free market,CON,Governmental intervention can result in potential gains in efficiency,1.0
all nations have a right to nuclear weapons,PRO,controlled nuclear proliferation may be beneficial for inducing stability,1.0
build hydroelectric dams,CON,"The natural flow of silt down the river will be interrupted, affecting downstream ecosystems",
Israel's 2008-2009 military operations against Gaza,CON,"Israel's bombardment of Gaza ""bears all the hallmarks of war crimes",-1.0
multiculturalism,CON,multiculturalism works better in theory than in practice,-1.0
atheism,CON,atheism systematically influences people to do bad things,-1.0
