topic,stance,argument,argument_sentiment
Israel's 2008-2009 military operations against Gaza,CON,"Israel's response was ""disproportionate",-1.0
wind power,PRO,Wind energy is a clean energy source,1.0
build high rises for housing,CON,increased population density encourages crime and anti-social behavior,-1.0
collective bargaining rights claimed by trades unions,PRO,The effect of union activities to influence pricing is potentially very harmful,-1.0
the use of performance enhancing drugs in professional sports,PRO,"With no medical data to support the claimed health problems caused by performance-enhancing drugs, it is, at best, questionable",
subsidize the growing of tobacco,CON,Tobacco plays an important role in the economy of the producing areas,1.0
make physical education compulsory,PRO,youth do not get the physical outlet needed not only for their cognitive development but for their physical health,1.0
only teach abstinence for sex education in schools,CON,abstinence only sex education is ineffective,-1.0
bribery,PRO,"In some cases where the system of law is not well-implemented, bribes may be a way for companies to continue their businesses",1.0
institute a mandatory retirement age,CON,the age at which retirement is mandated is often somewhat arbitrary and not based upon an actual physical evaluation of an individual person,-1.0
the sale of violent video games to minors,CON,most children who play violent games do not have problems,1.0
the monarchy,PRO,The hereditary nature of the monarchy is said to conflict with egalitarianism and dislike of inherited privilege,-1.0
bribery,PRO,"In some countries the culture of corruption extends to every aspect of public life, making it extremely difficult for individuals to stay in business without resorting to bribes",-1.0
Holocaust denial,PRO,denying or minimising the Holocaust must be seen as one of the acutest forms of racial slandering,-1.0
advertising,PRO,20th century advertising is the most powerful and sustained system of propaganda in human history,-1.0
burning the stars and stripes,CON,Flag burning is protected by the First Amendment,1.0
advertising,PRO,advertisements promote a negative message about body image,-1.0
wind power,PRO,Wind power development creates jobs,1.0
the one-child policy of the republic of China,CON,The policies' narrow focus leads to coercion and decreased quality of care,-1.0
unleash the free market,PRO,free markets have the potential to free states from the looming prospect of recurrent warfare,1.0
build the Keystone XL pipeline,CON,the pipeline could pollute air and water supplies,-1.0
governments should choose open source software,PRO,Free software can result in permanently lower costs compared to proprietary software,1.0
the one-child policy of the republic of China,PRO,A continuation of the rapid population growth that had been occurring would hinder China's development as a nation,-1.0
have children,CON,"when good people stop having kids, society fails",-1.0
barrier methods of contraception,PRO,Condoms may interfere with the process of paternal tolerance,-1.0
subsidize poor communities,PRO,a larger middle class benefits an economy by enabling more people to be consumers,1.0
implement playoffs in collegiate level American football,PRO,"Often, the BCS system leads to controversies",-1.0
wind power,PRO,wind energy is one of the most cost efficient sources of renewable energy,1.0
democratization,PRO,"all democracies, whether young or established, go into war with one another less frequently",1.0
freedom of speech,CON,government may not prohibit the expression of an idea simply because society finds the idea offensive or disagreeable,-1.0
the blockade of Gaza,PRO,economic recovery is blocked by sweeping restrictions on the movement of goods and people,-1.0
the use of affirmative action,CON,Policies adopted as affirmative action have been criticized as a form of referse discrimination,-1.0
unleash the free market,PRO,it is not prudent for governments to intervene in markets,-1.0
gambling,PRO,"Gambling leads to increased political corruption, compulsive gambling and higher crime rates",-1.0
the use of truth and reconciliation commissions,PRO,Truth-seeking processes allow societies to examine and come to grips with past crimes and atrocities and prevent their future repetition,1.0
partial birth abortions,CON,abortions should be legal under any circumstances,1.0
partial birth abortions,PRO,partial-birth abortion .. is .. unnecessary to preserve the health of the mother,-1.0
national service,PRO,the abolition of the draft would lead to recruitment shortages even for higher ranking positions,-1.0
institute a mandatory retirement age,PRO,Older people are seen as a group that acts as more of a cost than an asset to the company,-1.0
gambling,PRO,electronic funds transfers inherent in online gambling are being exploited by criminal interests,-1.0
democratization,PRO,the continuing increase in democracy worldwide will soon lead to an end to wars and democide,1.0
intellectual property rights,PRO,Copyright law is seen as preventing or slowing human progress,-1.0
Holocaust denial,CON,the work of Holocaust deniers should be protected by a universal right to free speech,1.0
have children,PRO,overpopulation is a serious problem,-1.0
freedom of speech,CON,Freedom of speech is the heart of democracy,1.0
the monarchy,PRO,A monarchy demands deference,-1.0
build hydroelectric dams,PRO,Hydroelectricity is the most widely used form of renewable energy,1.0
governments should choose open source software,PRO,Open source software can increase speed and flexibility,1.0
the blockade of Gaza,PRO,"the ""restrictions imposed on the civilian population by the continuing blockade of the Gaza Strip amount to collective punishment, a violation of international humanitarian law",-1.0
build hydroelectric dams,PRO,threats to our old energy systems provide a rationale for investing in renewable energy,1.0
raising the school leaving age to 18,CON,the current compulsory schooling system violates a basic fundamental right of humans: the right to decide what enters our minds,-1.0
atheism,PRO,Religions teachings are outdated in comparison with modern Western morals,-1.0
American Jobs Act,CON,unemployment increases the more the government intervenes into the economy to try to improve the conditions of those without jobs,
atheism,CON,a god created the Universe,1.0
only teach abstinence for sex education in schools,PRO,Providing safe-sex education promotes promiscuity,-1.0
gambling,PRO,Pathological gambling is similar to many other impulse control disorders,-1.0
atheism,CON,there is not good argument for God's existence that arises from pure reason alone,-1.0
the monarchy,PRO,national pride is diminished by the monarchy,-1.0
unleash the free market,PRO,a central planning authority would have to be endowed with powers that would impact and ultimately control social life,-1.0
advertising,PRO,Children are not capable of resisting or understanding marketing tactics,-1.0
intellectual property rights,CON,A positive correlation between the strengthening of the IP system and subsequent economic growth was found,1.0
the right to bear arms,CON,arms allow for successful rebellions against tyranny,1.0
only teach abstinence for sex education in schools,CON,abstinence-only sex education leads to the opposite of the intended results by spreading ignorance regarding sexually transmitted diseases and the proper use of contraceptives,-1.0
unleash the free market,PRO,the size of the winnings from free trade are larger than the losses,1.0
unleash the free market,PRO,"left to its devices, the market will adjust efficiently",1.0
subsidize poor communities,PRO,a society with more equality will have higher aggregate utility,1.0
make physical education compulsory,PRO,Physical fitness can prevent or treat many chronic health conditions,1.0
the one-child policy of the republic of China,PRO,Excessive population growth may reduce output per worker,-1.0
unleash the free market,CON,modern developments in information technology open up the possibility of a planning system that could outperform the market in terms of efficiency,1.0
the right to bear arms,PRO,people who keep a gun at home increase their risk of homicide,-1.0
wind power,CON,Wind farms are causing annoyance and ill health in people,-1.0
multiculturalism,CON,multiculturalism works better in theory than in practice,-1.0
Israel's 2008-2009 military operations against Gaza,PRO,it was Hamas that broke the truce,-1.0
raising the school leaving age to 18,CON,"forced schooling, regardless of whether the student is learning anything whatsoever, or if the student could more effectively learn elsewhere in different ways, is a gross violation of civil liberties",-1.0
build hydroelectric dams,PRO,"Among sources of renewable energy, hydroelectric plants have the advantages of being long-lived",1.0
the use of affirmative action,CON,Racial prejudice and discrimination no longer exists,
the blockade of Gaza,PRO,The blockade is a collective form of punishment on a civilian population,-1.0
atheism,PRO,an unchanging God cannot be the source of an ever changing world,-1.0
unleash the free market,PRO,free trade gives optimal economic advantages,1.0
subsidize poor communities,PRO,when there is economic inequality then political inequality is assured,-1.0
Israel's 2008-2009 military operations against Gaza,PRO,the firing of rockets at Israel constituted a deliberate attack against the civilian population,-1.0
subsidize poor communities,PRO,"the rich exploit the poor or otherwise gain unfair benefits, and thus should return some of those benefits",1.0
intellectual property rights,PRO,the very concept of copyright has never benefited society,-1.0
Holocaust denial,CON,laws punishing Holocaust denial are incompatible with the European Convention on Human Rights and the Universal Declaration of Human Rights,-1.0
bribery,CON,Corruption and economic crimes undermine the value of democracy,-1.0
build hydroelectric dams,PRO,The benefits of the dams are not only limited to hydropower,1.0
Holocaust denial,PRO,Holocaust denial can inspire violence against Jews,-1.0
fund education using a voucher scheme,PRO,vouchers improve academic outcomes at public schools,1.0
the sale of violent video games to minors,PRO,A correlation was found between children playing violent video games and suffering psychological effects,-1.0
Israel's 2008-2009 military operations against Gaza,PRO,"during the conflict, the Israel Defense Forces ""did more to safeguard the rights of civilians in a combat zone than any other army in the history of warfare",1.0
unleash the free market,PRO,"The idea that political freedom can be preserved in the absence of economic freedom, and vice versa, is an illusion",
atheism,PRO,all phenomena could be understood as resulting from purely natural causes,1.0
the right to bear arms,CON,Self-defense is considered to be a fundamental and inalienable human right,1.0
Israel's 2008-2009 military operations against Gaza,CON,Israel's actions on the Gaza Strip must be characterised as war crimes,-1.0
partial birth abortions,CON,Government has no right to force doctors to perform any procedure other than what they felt would be the safest,
freedom of speech,CON,"the more freely information flows, the stronger societies become",1.0
the creation of private universities in the UK,PRO,corruption is more prevalent in non-privatized sectors,-1.0
the use of affirmative action,CON,each individual's civil rights include the right to be free from government sponsored social discrimination,-1.0
gambling,CON,Money from gambling goes directly towards stimulating the economy,1.0
build hydroelectric dams,CON,Many plants do not have enough water to operate anywhere near their full capacity on a continuous basis,-1.0
build hydroelectric dams,CON,there are several significant social and environmental disadvantages of large-scale hydroelectric power systems,-1.0
unleash the free market,PRO,the absolute quantity of goods and services produced is highest under free trade,1.0
build hydroelectric dams,CON,reservoirs cause habitat fragmentation of surrounding areas,-1.0
build hydroelectric dams,CON,"The construction of new hydroelectric power plants means environmental impacts as large areas need to be flooded, altering the ecosystem",-1.0
enforce term limits on the legislative branch of government,PRO,Term limits reduce the excessive time and attention spent on getting re-elected,1.0
the monarchy,CON,monarchy is an impetus for significantly greater national income from tourism,1.0
have children,PRO,antinatalist policies could solve problems such as overpopulation,1.0
bribery,CON,Bribery encourages rent seeking behaviour,-1.0
governments should choose open source software,PRO,FOSS applications tend to be much lower in cost than their proprietary equivalents,1.0
fund education using a voucher scheme,PRO,Competition for students (and the education dollars that come with them) creates a catalyst for schools to create innovative programs,1.0
leaking of military documents,CON,release of tactical information usually presents a greater risk of casualties among one's own forces,-1.0
the use of truth and reconciliation commissions,PRO,victims and communities affected by past crimes have the right to know the identity of suspected perpetrators,1.0
the use of affirmative action,CON,race and sex shouldn't matter when getting a job,-1.0
wind power,PRO,"The operating costs are relatively low, with each additional unit of wind power costing very little to produce",1.0
atheism,CON,only the existence of God as orthodoxly conceived could support the existence of moral order in the world,1.0
the monarchy,PRO,monarchs are not accountable,-1.0
the sale of violent video games to minors,CON,"media cannot cause violence because humans have the ability to recognize what is wrong, and what is right",1.0
atheism,PRO,"an omnipotent and omniscient being would not have any reason to act in any way, specifically by creating the universe",-1.0
institute a mandatory retirement age,PRO,Normal aging is associated with a decline in various memory abilities in many cognitive tasks,-1.0
build high rises for housing,PRO,A large resident population provides opportunities for social interaction,1.0
partial birth abortions,PRO,Abortion is considered to be morally wrong,-1.0
the monarchy,PRO,"a republic is ""inevitable",1.0
democratization,CON,Democracy is economically inefficient,-1.0
Israel's 2008-2009 military operations against Gaza,PRO,Israel's right to protect its citizens is recognised,1.0
gambling,PRO,Slot machine is addictive,-1.0
unleash the free market,PRO,the market is the most fair and efficient arbitrator of resources,1.0
blasphemy,PRO,humiliation of the values that are held in high esteem by people cannot be justified by the freedom of speech,-1.0
build high rises for housing,PRO,only high rise developments could accommodate the density level of population,1.0
the right to asylum,PRO,"immigrants can ""swamp"" a local population",-1.0
fund education using a voucher scheme,PRO,School choice programs would allow poor students to opt out of bad schools and acquire a better education,1.0
Israel's 2008-2009 military operations against Gaza,PRO,Israel's right to self-defence is recognized,1.0
only teach abstinence for sex education in schools,CON,excessive repression of the sexual instinct leads to an increase in the overall level of aggression in a given society,-1.0
the one-child policy of the republic of China,PRO,only children are higher in achievement motivation,1.0
Holocaust denial,PRO,Holocaust denial is described as an affront to our humanity,-1.0
boxing,PRO,full-contact sports are barbaric,-1.0
fund education using a voucher scheme,CON,Education vouchers would undermine public schools,-1.0
national service,CON,The military draft negates man’s fundamental right—the right to life,-1.0
build high rises for housing,CON,Tower Blocks grew a reputation for being undesirable low cost housing,-1.0
the use of affirmative action,CON,one group is favored at the expense of another whenever a quota is invoked,-1.0
multiculturalism,CON,Multiculturalism ultimately erodes the host nations' distinct culture,-1.0
re-engage with Myanmar,PRO,efforts to sanction Burma were useless,-1.0
leaking of military documents,PRO,there must be no constraints on the free flow of information and ideas,1.0
blasphemy,CON,the offence of blasphemy is a dead letter,-1.0
freedom of speech,CON,The free communication of thoughts and of opinions is one of the most precious rights of man,1.0
national service,CON,The draft has been perceived by some as unfairly targeting the poor and lower middle classes,-1.0
only teach abstinence for sex education in schools,PRO,abstinence is the only guaranteed way of avoiding unwanted pregnancies and contraction of STDs,1.0
the sale of violent video games to minors,CON,violence in video games is not causally linked with aggressive tendencies,1.0
atheism,CON,religion is needed to make us behave morally,1.0
build hydroelectric dams,PRO,hydroelectric dams do not burn fossil fuels,1.0
intellectual property rights,CON,Intellectual property laws encourage fair trading which would contribute to economic and social development,1.0
the sale of violent video games to minors,CON,"Many creative, social and emotional benefits from video game play have been documented - even games with violent content",1.0
the blockade of Gaza,PRO,the Israeli blockade of the city had caused the humanitarian situation in Gaza to have reached its worst point since Israel occupied the territory in the 1967 Six-Day War,-1.0
unleash the free market,PRO,free trade would increase the likelihood of a lasting peace,1.0
have children,PRO,Abstinence from reproduction is seen as an altruistic choice,1.0
unleash the free market,CON,free markets usually fail to deal with the problem of externalities,-1.0
build the Keystone XL pipeline,PRO,oil and gas pipelines are an important asset of the economic development of almost any country,1.0
Israel's 2008-2009 military operations against Gaza,CON,Hamas was willing to renew the cease-fire under the original terms,1.0
the use of truth and reconciliation commissions,CON,"if all perpetrators of human rights abuses do not stand trial, impunity for crimes will continue",-1.0
leaking of military documents,PRO,democracy will not be true to its essential ideal if those in power are able to manipulate the electorate by withholding information,-1.0
atheism,CON,Denying the existence of a god renders life meaningless and miserable,-1.0
open primaries,CON,the open primary is unconstitutional,-1.0
unleash the free market,PRO,free trade is a large and unambiguous net gain for society,1.0
Israel's 2008-2009 military operations against Gaza,PRO,Palestinian armed groups committed war crimes and possibly crimes against humanity,-1.0
build hydroelectric dams,PRO,The major advantage of hydroelectric systems is the elimination of the cost of fuel,1.0
all nations have a right to nuclear weapons,PRO,Nuclear weapons decrease the chances of crisis escalation,1.0
build hydroelectric dams,CON,people worldwide had been physically displaced as a direct result of dam construction,-1.0
the right to asylum,CON,Political refugees may be fleeing for their lives,1.0
multiculturalism,CON,Multiculturalism can become a polite and euphemistic way of affirming and persisting unequal power relationships,-1.0
intellectual property rights,CON,Awarding patents generally makes the details of new technology publicly available,1.0
collective bargaining rights claimed by trades unions,PRO,Unionization frequently produces higher wages at the expense of fewer jobs,-1.0
unleash the free market,PRO,government intervention in markets would lead to a loss of freedom,-1.0
multiculturalism,PRO,Cultural diversity is the common heritage of humanity,1.0
gambling,PRO,Problem gambling is often associated with increased suicidal ideation,-1.0
boxing,PRO,Boxing is an obscenity that should not be sanctioned by any civilized society,-1.0
subsidize poor communities,CON,Subsidies tend to be expensive and regressive,-1.0
democratization,PRO,democracy can be a path to lasting justice,1.0
year round schooling,PRO,"for every three multitrack schools, one less school must be built",1.0
freedom of speech,PRO,limitations on free speech balance rights to free speech and other rights,1.0
atheism,PRO,religious belief is a delusion,-1.0
only teach abstinence for sex education in schools,CON,sex education needs to be comprehensive to be effective,1.0
collective bargaining rights claimed by trades unions,CON,The freedom of association and the effective recognition of the right to collective bargaining are defined as an essential right of workers,1.0
intellectual property rights,CON,The present system of strong copyrights has been largely successful in financing the creation and distribution of a wide variety of works,1.0
freedom of speech,CON,The free communication of ideas and opinions is one of the most precious of the rights of man,1.0
burning the stars and stripes,CON,Americans oppose a flag desecration amendment,-1.0
subsidize poor communities,CON,Subsidies may distort production incentives,-1.0
advertising,PRO,Advertising is not without social costs,-1.0
all nations have a right to nuclear weapons,PRO,The spread of nuclear weapons can increase international stability,1.0
the right to bear arms,CON,gun bans would increase injuries and deaths,-1.0
build hydroelectric dams,CON,A hydroelectric plant's production may be affected by requirements to keep the water level from getting to high or low,-1.0
atheism,PRO,"where design fails to explain complexity, evolution by natural selection succeeds",1.0
unleash the free market,PRO,the occurrence of free trade has prevented the outbreak of war,1.0
the sale of violent video games to minors,CON,numerous researchers have proposed potential positive effects of video games,1.0
year round schooling,CON,Students with attention learning disabilities may experience difficulties with longer school days,-1.0
democratization,PRO,The best protection for our security is a world of well-governed democratic states,1.0
gambling,PRO,There can be some problems associated with winning a lottery jackpot,-1.0
the blockade of Gaza,PRO,"all that is being achieved through the blockade is to ""enrich Hamas and marginalize even further the voices of moderation",-1.0
make physical education compulsory,PRO,A sedentary lifestyle plays a significant role in obesity [REF,-1.0
build the Keystone XL pipeline,CON,the Keystone XL Pipeline undermines the U.S. commitment to a clean energy economy,-1.0
multiculturalism,PRO,multiculturalism is a tool for instilling students with pride and confidence in their unique and special backgrounds,1.0
democratization,PRO,only in a democracy the citizens can have a share in freedom,1.0
governments should choose open source software,PRO,open-source software is inherently safer,1.0
partial birth abortions,CON,the decision to abort must be left to the mother and her physician,
the blockade of Gaza,PRO,the blockade actually strengthens Hamas's grip on the economy and on Gaza,-1.0
only teach abstinence for sex education in schools,PRO,condom-promotion programs encourage promiscuity,-1.0
Holocaust denial,PRO,Holocaust denial is a convenient polemical substitute for anti-semitism,-1.0
only teach abstinence for sex education in schools,CON,"sexual behavior after puberty is a given, and it is therefore crucial to provide information about the risks and how they can be minimized",1.0
Israel's 2008-2009 military operations against Gaza,PRO,anything affiliated with Hamas is a legitimate target,-1.0
have children,PRO,human existence has ultimately been destructive to the Earth and many of its non-human organisms,-1.0
the use of performance enhancing drugs in professional sports,CON,There are harmful long-term effects of many doping agents,-1.0
build hydroelectric dams,CON,greenhouse gas emissions from the reservoir could be higher than those of a conventional oil-fired thermal generation plant,-1.0
the right to bear arms,CON,it would be of no use to forbid law-abiding citizens to own legal registered guns in accordance to the law,-1.0
Israel's 2008-2009 military operations against Gaza,CON,"the war was targeted against the ""people of Gaza as a whole",-1.0
unleash the free market,PRO,States use their coercive powers to benefit some businesses and individuals at the expense of others,-1.0
the monarchy,PRO,monarchies are unfashionable,-1.0
the sale of violent video games to minors,PRO,states should have the “right to regulate the sale of video games [that are violent] in order to protect minors,1.0
the creation of private universities in the UK,PRO,private entities are more efficiently run,1.0
the monarchy,PRO,Monarchy is gender-discriminative,-1.0
wind power,PRO,Wind power development cuts dependence on fossil fuels,1.0
partial birth abortions,PRO,D&X abortions are never medically necessary,-1.0
build hydroelectric dams,CON,dams are not likely to generate a large financial rate of return,-1.0
advertising,PRO,any kind of marketing is inherently evil,-1.0
congressional earmarks,PRO,"benefits of a vote only reach a particular portion of the population, while the tax costs that pay for the vote are spread throughout the entire populace",
democratization,PRO,wars between democracies are less likely,1.0
the blockade of Gaza,PRO,the formal economy in Gaza has collapsed since the imposition of the blockade,-1.0
only teach abstinence for sex education in schools,PRO,early sexual activity - whether in or out of a romantic relationship - does far more harm than good,-1.0
build hydroelectric dams,PRO,Hydroelectricity is a renewable energey source,1.0
intellectual property rights,PRO,Copyright law is obsolete,-1.0
Holocaust denial,CON,education is more effective than legislation at combating Holocaust denial,-1.0
unleash the free market,CON,Social inequalities result from free-market outcomes,-1.0
Israel's 2008-2009 military operations against Gaza,CON,"the Israeli soldiers at best failed to protect civilians, and at worst deliberately shot at them",-1.0
only teach abstinence for sex education in schools,CON,Adolescents who begin having sexual intercourse need to understand the importance of using an effective contraceptive every time they have sex,1.0
endangered species,PRO,each organism has a purpose and a reason for being,1.0
unleash the free market,CON,there is a legitimate need for government restrictions on free trade,1.0
governments should choose open source software,CON,FOSS cannot be used with other types of software,-1.0
fund education using a voucher scheme,PRO,the educational system forces low-income families to place their children into less-than-ideal school systems,
build hydroelectric dams,PRO,areas with abundant hydroelectric power attract industry,1.0
build high rises for housing,PRO,Planning policies which increase population densities in urban areas do tend to reduce car use,1.0
the monarchy,PRO,people are given greater dignity from choosing their head of state,1.0
partial birth abortions,CON,Abortion is deemed a fundamental right,1.0
partial birth abortions,PRO,A right to life begins at conception,
barrier methods of contraception,PRO,Condoms are a sin in any circumstances,-1.0
wind power,PRO,The total amount of economically extractable power available from the wind is considerably more than present human power use from all sources,1.0
build high rises for housing,CON,"human beings, while social animals, need significant amounts of social space or they become agitated and aggressive",1.0
implement playoffs in collegiate level American football,PRO,Controversies concerning inclusion in the BCS National Championship Game are numerous,-1.0
housewives should be paid for their work,CON,"the household sector is a wealth spender, and not a wealth creator",-1.0
gambling,CON,the majority of the states run some type of lottery to raise funds for state operations,1.0
freedom of speech,PRO,The right to free speech conflicts with other rights,-1.0
endangered species,PRO,More biologically diverse communities appear to be more stable,1.0
multiculturalism,CON,Multiculturalism perpetuates conflicts between and within groups,-1.0
endangered species,PRO,all species have inherent value,1.0
intellectual property rights,PRO,the only way that intellectual property rights can be implemented is by limiting others' physical property rights,-1.0
atheism,CON,atheistic arguments must ultimately refute themselves if pressed with rigorous consistency,-1.0
subsidize poor communities,PRO,Economic inequality is thought to reduce distributive efficiency within society,-1.0
wind power,CON,Wind power is an intermittent energy source,-1.0
governments should choose open source software,PRO,Open source software promotes learning and understanding,1.0
the monarchy,CON,the Crown is a guarantor against the misuse of constitutional power by politicians,1.0
Holocaust denial,PRO,The denial of such an unimaginable murder of millions cannot simply be accepted as something protected by the freedom of speech,-1.0
barrier methods of contraception,CON,There is no reason to conclude that natural family planning is appropriate but that 'artificial' means are not,
bribery,PRO,corruption reduces costs by cutting bureaucracy,1.0
the sale of violent video games to minors,PRO,Reinforcement of sexist stereotypes has been claimed as an effect of violent video games,-1.0
unleash the free market,CON,the state has a legitimate role in providing public goods,1.0
build hydroelectric dams,CON,Environmental costs are imposed on communities living downstream of the dams,-1.0
atheism,PRO,a creator of a universe with such complexity would have to be complex and improbable,-1.0
fund education using a voucher scheme,PRO,no family should be forced to send kids to a school they know is failing,
the sale of violent video games to minors,PRO,"video game publishers unethically train children in the use of weapons and, more importantly, harden them emotionally to the act of murder",-1.0
ASEAN,PRO,ASEAN is criticised for being too soft in its approach to promoting human rights and democracy,-1.0
all nations have a right to nuclear weapons,CON,Having more nuclear nuclear-weapon states will reduce security for all,-1.0
only teach abstinence for sex education in schools,PRO,sexual abstinence confers numerous health benefits,1.0
the sale of violent video games to minors,CON,violent games help students deal with stress and aggression,1.0
burning the stars and stripes,PRO,Flag burning tends to incite breaches of the peace,-1.0
the use of affirmative action,CON,You can't legislate morality,-1.0
build hydroelectric dams,PRO,The environmental benefits of renewable energy technologies are widely recognised,1.0
only teach abstinence for sex education in schools,CON,Evidence does not support the use of abstinence only sex education,-1.0
the use of affirmative action,PRO,Affirmative action counters the effects of a history of discrimination,1.0
build hydroelectric dams,CON,People would have to be resettled to make room for dams and reservoirs,-1.0
collective bargaining rights claimed by trades unions,CON,"unionized workers will spend their higher wages, driving economic growth and creating new jobs",1.0
unleash the free market,CON,"regulation ensures that a safe and appropriate service is delivered, while not discouraging the effective functioning and development of businesses",1.0
partial birth abortions,CON,any decision should be left up to the woman within whose body the fetus is growing,
boxing,PRO,Knocking a person unconscious or even causing concussion may cause permanent brain damage,-1.0
re-engage with Myanmar,PRO,"since the transition to new government in August 2011, Burma's human rights record has been improving",1.0
the blockade of Gaza,PRO,Israel's blockade of the Gaza Strip was described as totally intolerable and unacceptable in the 21st century,-1.0
build hydroelectric dams,CON,Dams are tempting industrial targets for wartime attack,-1.0
institute a mandatory retirement age,CON,"the more active elderly people are, the more likely they are to be satisfied with life",1.0
